No.,Word,Pinyin,POS,Topic,Definition,HSK Level
1,爱,ài,动词,日常生活与情感,to love; to like,HSK 2.0 Level 1
2,八,bā,数词,语法功能词,eight,HSK 2.0 Level 1
3,爸爸,bàba,名词,日常生活与情感,father; dad,HSK 2.0 Level 1
4,杯子,bēizi,名词,日常生活与情感,cup; glass,HSK 2.0 Level 1
5,北京,Běijīng,名词,旅行与交通,Beijing,HSK 2.0 Level 1
6,本,běn,量词,语法功能词,measure word for books,HSK 2.0 Level 1
7,不客气,bú kèqi,形容词,人际交往,you are welcome; polite,HSK 2.0 Level 1
8,不,bù,副词,语法功能词,not; no,HSK 2.0 Level 1
9,菜,cài,名词,日常生活与情感,dish; vegetable,HSK 2.0 Level 1
10,茶,chá,名词,日常生活与情感,tea,HSK 2.0 Level 1
11,吃,chī,动词,日常生活与情感,to eat,HSK 2.0 Level 1
12,出租车,chūzūchē,名词,旅行与交通,taxi; cab,HSK 2.0 Level 1
13,打电话,dǎ diànhuà,动词,人际交往,to make a phone call,HSK 2.0 Level 1
14,大,dà,形容词,日常生活与情感,big; large,HSK 2.0 Level 1
15,的,de,助词,语法功能词,of; (possessive particle),HSK 2.0 Level 1
16,点,diǎn,量词,日常生活与情感,o'clock; a little bit,HSK 2.0 Level 1
17,电脑,diànnǎo,名词,科技与环境,computer,HSK 2.0 Level 1
18,电视,diànshì,名词,科技与环境,television; TV,HSK 2.0 Level 1
19,电影,diànyǐng,名词,消费与休闲,movie; film,HSK 2.0 Level 1
20,东西,dōngxi,名词,消费与休闲,thing; object,HSK 2.0 Level 1
21,都,dōu,副词,语法功能词,all; both,HSK 2.0 Level 1
22,读,dú,动词,职场与教育,to read; to study,HSK 2.0 Level 1
23,对不起,duìbuqǐ,动词,人际交往,I am sorry; excuse me,HSK 2.0 Level 1
24,多,duō,形容词,日常生活与情感,many; much,HSK 2.0 Level 1
25,多少,duōshao,代词,语法功能词,how many; how much,HSK 2.0 Level 1
26,儿子,érzi,名词,日常生活与情感,son,HSK 2.0 Level 1
27,二,èr,数词,语法功能词,two,HSK 2.0 Level 1
28,饭馆,fànguǎn,名词,消费与休闲,restaurant,HSK 2.0 Level 1
29,飞机,fēijī,名词,旅行与交通,airplane; plane,HSK 2.0 Level 1
30,分钟,fēnzhōng,名词,日常生活与情感,minute,HSK 2.0 Level 1
31,高兴,gāoxìng,形容词,日常生活与情感,happy; glad,HSK 2.0 Level 1
32,个,gè,量词,语法功能词,general measure word,HSK 2.0 Level 1
33,工作,gōngzuò,动词,职场与教育,to work; job,HSK 2.0 Level 1
34,狗,gǒu,名词,日常生活与情感,dog,HSK 2.0 Level 1
35,汉语,Hànyǔ,名词,职场与教育,Chinese language; Mandarin,HSK 2.0 Level 1
36,好,hǎo,形容词,日常生活与情感,good; fine,HSK 2.0 Level 1
37,喝,hē,动词,日常生活与情感,to drink,HSK 2.0 Level 1
38,和,hé,连词,语法功能词,and; with,HSK 2.0 Level 1
39,很,hěn,副词,语法功能词,very; quite,HSK 2.0 Level 1
40,后面,hòumiàn,名词,日常生活与情感,back; behind,HSK 2.0 Level 1
41,回,huí,动词,旅行与交通,to return; to go back,HSK 2.0 Level 1
42,会,huì,动词,职场与教育,can; to know how to,HSK 2.0 Level 1
43,火车站,huǒchēzhàn,名词,旅行与交通,railway station; train station,HSK 2.0 Level 1
44,几,jǐ,代词,语法功能词,how many; several,HSK 2.0 Level 1
45,家,jiā,名词,日常生活与情感,home; family,HSK 2.0 Level 1
46,叫,jiào,动词,人际交往,to be called; to call,HSK 2.0 Level 1
47,今天,jīntiān,名词,日常生活与情感,today,HSK 2.0 Level 1
48,九,jiǔ,数词,语法功能词,nine,HSK 2.0 Level 1
49,开,kāi,动词,旅行与交通,to drive; to open,HSK 2.0 Level 1
50,看,kàn,动词,日常生活与情感,to look; to watch,HSK 2.0 Level 1
51,看见,kànjiàn,动词,日常生活与情感,to see; to catch sight of,HSK 2.0 Level 1
52,块,kuài,量词,语法功能词,piece; yuan,HSK 2.0 Level 1
53,来,lái,动词,旅行与交通,to come; to arrive,HSK 2.0 Level 1
54,老师,lǎoshī,名词,职场与教育,teacher,HSK 2.0 Level 1
55,了,le,助词,语法功能词,(modal/aspect particle),HSK 2.0 Level 1
56,冷,lěng,形容词,科技与环境,cold,HSK 2.0 Level 1
57,里,lǐ,名词,日常生活与情感,inside; in,HSK 2.0 Level 1
58,零,líng,数词,语法功能词,zero,HSK 2.0 Level 1
59,六,liù,数词,语法功能词,six,HSK 2.0 Level 1
60,妈妈,māma,名词,日常生活与情感,mother; mom,HSK 2.0 Level 1
61,吗,ma,助词,语法功能词,(question particle),HSK 2.0 Level 1
62,买,mǎi,动词,消费与休闲,to buy; to purchase,HSK 2.0 Level 1
63,猫,māo,名词,日常生活与情感,cat,HSK 2.0 Level 1
64,没,méi,副词,语法功能词,not; have not,HSK 2.0 Level 1
65,没关系,méi guānxi,动词,人际交往,that is all right; never mind,HSK 2.0 Level 1
66,米饭,mǐfàn,名词,日常生活与情感,cooked rice,HSK 2.0 Level 1
67,明天,míngtiān,名词,日常生活与情感,tomorrow,HSK 2.0 Level 1
68,名字,míngzi,名词,人际交往,name,HSK 2.0 Level 1
69,哪（哪儿）,nǎ (nǎr),代词,语法功能词,which; where,HSK 2.0 Level 1
70,那（那儿）,nà (nàr),代词,语法功能词,that; there,HSK 2.0 Level 1
71,呢,ne,助词,语法功能词,(modal particle),HSK 2.0 Level 1
72,能,néng,动词,语法功能词,can; to be able to,HSK 2.0 Level 1
73,你,nǐ,代词,语法功能词,you,HSK 2.0 Level 1
74,年,nián,名词,日常生活与情感,year,HSK 2.0 Level 1
75,女儿,nǚ'ér,名词,日常生活与情感,daughter,HSK 2.0 Level 1
76,朋友,péngyou,名词,人际交往,friend,HSK 2.0 Level 1
77,漂亮,piàoliang,形容词,日常生活与情感,beautiful; pretty,HSK 2.0 Level 1
78,苹果,píngguǒ,名词,日常生活与情感,apple,HSK 2.0 Level 1
79,七,qī,数词,语法功能词,seven,HSK 2.0 Level 1
80,钱,qián,名词,消费与休闲,money,HSK 2.0 Level 1
81,前面,qiánmiàn,名词,日常生活与情感,front; ahead,HSK 2.0 Level 1
82,请,qǐng,动词,人际交往,please; to invite,HSK 2.0 Level 1
83,去,qù,动词,旅行与交通,to go,HSK 2.0 Level 1
84,热,rè,形容词,科技与环境,hot,HSK 2.0 Level 1
85,人,rén,名词,日常生活与情感,person; people,HSK 2.0 Level 1
86,认识,rènshi,动词,人际交往,to know; to recognize,HSK 2.0 Level 1
87,日,rì,名词,日常生活与情感,day; date,HSK 2.0 Level 1
88,三,sān,数词,语法功能词,three,HSK 2.0 Level 1
89,商店,shāngdiàn,名词,消费与休闲,shop; store,HSK 2.0 Level 1
90,上,shàng,名词,日常生活与情感,above; on; to go up,HSK 2.0 Level 1
91,上午,shàngwǔ,名词,日常生活与情感,morning; forenoon,HSK 2.0 Level 1
92,少,shǎo,形容词,日常生活与情感,few; little,HSK 2.0 Level 1
93,谁,shéi,代词,语法功能词,who; whom,HSK 2.0 Level 1
94,什么,shénme,代词,语法功能词,what,HSK 2.0 Level 1
95,十,shí,数词,语法功能词,ten,HSK 2.0 Level 1
96,时候,shíhou,名词,日常生活与情感,time; moment,HSK 2.0 Level 1
97,是,shì,动词,语法功能词,to be; yes,HSK 2.0 Level 1
98,书,shū,名词,职场与教育,book,HSK 2.0 Level 1
99,水,shuǐ,名词,日常生活与情感,water,HSK 2.0 Level 1
100,水果,shuǐguǒ,名词,日常生活与情感,fruit,HSK 2.0 Level 1
101,睡觉,shuìjiào,动词,日常生活与情感,to sleep; to go to bed,HSK 2.0 Level 1
102,说话,shuōhuà,动词,人际交往,to speak; to talk,HSK 2.0 Level 1
103,四,sì,数词,语法功能词,four,HSK 2.0 Level 1
104,岁,suì,量词,语法功能词,year of age,HSK 2.0 Level 1
105,他,tā,代词,语法功能词,he; him,HSK 2.0 Level 1
106,她,tā,代词,语法功能词,she; her,HSK 2.0 Level 1
107,太,tài,副词,语法功能词,too; extremely,HSK 2.0 Level 1
108,天气,tiānqì,名词,科技与环境,weather,HSK 2.0 Level 1
109,听,tīng,动词,日常生活与情感,to listen; to hear,HSK 2.0 Level 1
110,同学,tóngxué,名词,职场与教育,classmate,HSK 2.0 Level 1
111,喂,wèi,叹词,人际交往,hello; hey,HSK 2.0 Level 1
112,我,wǒ,代词,语法功能词,I; me,HSK 2.0 Level 1
113,我们,wǒmen,代词,语法功能词,we; us,HSK 2.0 Level 1
114,五,wǔ,数词,语法功能词,five,HSK 2.0 Level 1
115,喜欢,xǐhuan,动词,日常生活与情感,to like; to love,HSK 2.0 Level 1
116,下,xià,名词,日常生活与情感,below; under; to descend,HSK 2.0 Level 1
117,下午,xiàwǔ,名词,日常生活与情感,afternoon,HSK 2.0 Level 1
118,下雨,xià yǔ,动词,科技与环境,to rain,HSK 2.0 Level 1
119,先生,xiānsheng,名词,人际交往,Mr.; sir,HSK 2.0 Level 1
120,现在,xiànzài,名词,日常生活与情感,now; at present,HSK 2.0 Level 1
121,想,xiǎng,动词,日常生活与情感,to think; to miss; to want,HSK 2.0 Level 1
122,小,xiǎo,形容词,日常生活与情感,small; little,HSK 2.0 Level 1
123,小姐,xiǎojiě,名词,人际交往,Miss; young lady,HSK 2.0 Level 1
124,些,xiē,量词,语法功能词,some; a few,HSK 2.0 Level 1
125,写,xiě,动词,职场与教育,to write,HSK 2.0 Level 1
126,谢谢,xièxie,动词,人际交往,to thank; thanks,HSK 2.0 Level 1
127,星期,xīngqī,名词,日常生活与情感,week,HSK 2.0 Level 1
128,学生,xuésheng,名词,职场与教育,student,HSK 2.0 Level 1
129,学习,xuéxí,动词,职场与教育,to study; to learn,HSK 2.0 Level 1
130,学校,xuéxiào,名词,职场与教育,school,HSK 2.0 Level 1
131,一,yī,数词,语法功能词,one,HSK 2.0 Level 1
132,衣服,yīfu,名词,日常生活与情感,clothes; clothing,HSK 2.0 Level 1
133,医生,yīshēng,名词,健康与运动,doctor; physician,HSK 2.0 Level 1
134,医院,yīyuàn,名词,健康与运动,hospital,HSK 2.0 Level 1
135,椅子,yǐzi,名词,日常生活与情感,chair,HSK 2.0 Level 1
136,有,yǒu,动词,日常生活与情感,to have; there be,HSK 2.0 Level 1
137,月,yuè,名词,日常生活与情感,month; moon,HSK 2.0 Level 1
138,在,zài,介词,语法功能词,at; in; on,HSK 2.0 Level 1
139,再见,zàijiàn,动词,人际交往,goodbye; see you again,HSK 2.0 Level 1
140,怎么,zěnme,代词,语法功能词,how; why,HSK 2.0 Level 1
141,怎么样,zěnmeyàng,代词,语法功能词,how about; how is it,HSK 2.0 Level 1
142,这（这儿）,zhè (zhèr),代词,语法功能词,this; here,HSK 2.0 Level 1
143,中国,Zhōngguó,名词,旅行与交通,China,HSK 2.0 Level 1
144,中午,zhōngwǔ,名词,日常生活与情感,noon; midday,HSK 2.0 Level 1
145,住,zhù,动词,日常生活与情感,to live; to stay,HSK 2.0 Level 1
146,桌子,zhuōzi,名词,日常生活与情感,table; desk,HSK 2.0 Level 1
147,字,zì,名词,职场与教育,character; word,HSK 2.0 Level 1
148,昨天,zuótiān,名词,日常生活与情感,yesterday,HSK 2.0 Level 1
149,坐,zuò,动词,旅行与交通,to sit; to ride,HSK 2.0 Level 1
150,做,zuò,动词,日常生活与情感,to do; to make,HSK 2.0 Level 1
151,吧,ba,助词,语法功能词,(suggestion/modal particle),HSK 2.0 Level 2
152,白,bái,形容词,日常生活与情感,white,HSK 2.0 Level 2
153,百,bǎi,数词,语法功能词,hundred,HSK 2.0 Level 2
154,帮助,bāngzhù,动词,人际交往,to help; to assist,HSK 2.0 Level 2
155,报纸,bàozhǐ,名词,消费与休闲,newspaper,HSK 2.0 Level 2
156,比,bǐ,介词,语法功能词,than; to compare,HSK 2.0 Level 2
157,别,bié,副词,语法功能词,do not,HSK 2.0 Level 2
158,长,cháng,形容词,日常生活与情感,long,HSK 2.0 Level 2
159,唱歌,chànggē,动词,消费与休闲,to sing,HSK 2.0 Level 2
160,出,chū,动词,旅行与交通,to go out; to come out,HSK 2.0 Level 2
161,穿,chuān,动词,日常生活与情感,to wear; to put on,HSK 2.0 Level 2
162,船,chuán,名词,旅行与交通,boat; ship,HSK 2.0 Level 2
163,次,cì,量词,语法功能词,(measure word for frequency); time,HSK 2.0 Level 2
164,从,cóng,介词,语法功能词,from; since,HSK 2.0 Level 2
165,错,cuò,形容词,日常生活与情感,wrong; incorrect,HSK 2.0 Level 2
166,打篮球,dǎ lánqiú,动词,健康与运动,to play basketball,HSK 2.0 Level 2
167,大家,dàjiā,代词,语法功能词,everyone; all,HSK 2.0 Level 2
168,但是,dànshì,连词,语法功能词,but; however,HSK 2.0 Level 2
169,到,dào,动词,旅行与交通,to arrive; to reach,HSK 2.0 Level 2
170,得,de,助词,语法功能词,(structural particle),HSK 2.0 Level 2
171,等（动）,děng,动词,日常生活与情感,to wait; to await,HSK 2.0 Level 2
172,弟弟,dìdi,名词,日常生活与情感,younger brother,HSK 2.0 Level 2
173,第一,dì-yī,数词,语法功能词,first; number one,HSK 2.0 Level 2
174,懂,dǒng,动词,职场与教育,to understand; to know,HSK 2.0 Level 2
175,对（形）,duì,形容词,日常生活与情感,right; correct,HSK 2.0 Level 2
176,房间,fángjiān,名词,日常生活与情感,room,HSK 2.0 Level 2
177,非常,fēicháng,副词,语法功能词,very; extremely,HSK 2.0 Level 2
178,服务员,fúwùyuán,名词,消费与休闲,waiter; attendant,HSK 2.0 Level 2
179,高,gāo,形容词,日常生活与情感,tall; high,HSK 2.0 Level 2
180,告诉,gàosu,动词,人际交往,to tell; to inform,HSK 2.0 Level 2
181,哥哥,gēge,名词,日常生活与情感,elder brother,HSK 2.0 Level 2
182,给,gěi,动词,人际交往,to give; to grant,HSK 2.0 Level 2
183,公共汽车,gōnggòngqìchē,名词,旅行与交通,bus,HSK 2.0 Level 2
184,公斤,gōngjīn,量词,语法功能词,kilogram; kilo,HSK 2.0 Level 2
185,公司,gōngsī,名词,职场与教育,company; corporation,HSK 2.0 Level 2
186,贵,guì,形容词,消费与休闲,expensive; costly,HSK 2.0 Level 2
187,还,hái,副词,语法功能词,still; also; yet,HSK 2.0 Level 2
188,孩子,háizi,名词,日常生活与情感,child; children,HSK 2.0 Level 2
189,好吃,hǎochī,形容词,日常生活与情感,delicious; tasty,HSK 2.0 Level 2
190,号,hào,名词,日常生活与情感,date; number,HSK 2.0 Level 2
191,黑,hēi,形容词,日常生活与情感,black; dark,HSK 2.0 Level 2
192,红,hóng,形容词,日常生活与情感,red,HSK 2.0 Level 2
193,欢迎,huānyíng,动词,人际交往,to welcome; to greet,HSK 2.0 Level 2
194,回答,huídá,动词,职场与教育,to answer; to reply,HSK 2.0 Level 2
195,机场,jīchǎng,名词,旅行与交通,airport,HSK 2.0 Level 2
196,鸡蛋,jīdàn,名词,日常生活与情感,egg,HSK 2.0 Level 2
197,件,jiàn,量词,语法功能词,(measure word for matters or clothes),HSK 2.0 Level 2
198,教室,jiàoshì,名词,职场与教育,classroom,HSK 2.0 Level 2
199,姐姐,jiějie,名词,日常生活与情感,elder sister,HSK 2.0 Level 2
200,介绍,jièshào,动词,人际交往,to introduce; to recommend,HSK 2.0 Level 2
201,近,jìn,形容词,日常生活与情感,near; close,HSK 2.0 Level 2
202,进,jìn,动词,旅行与交通,to enter; to go in,HSK 2.0 Level 2
203,就,jiù,副词,语法功能词,then; at once; right away,HSK 2.0 Level 2
204,觉得,juéde,动词,日常生活与情感,to feel; to think,HSK 2.0 Level 2
205,咖啡,kāfēi,名词,日常生活与情感,coffee,HSK 2.0 Level 2
206,开始,kāishǐ,动词,日常生活与情感,to begin; to start,HSK 2.0 Level 2
207,考试,kǎoshì,名词,职场与教育,examination; test,HSK 2.0 Level 2
208,可能,kěnéng,副词,语法功能词,maybe; possibly,HSK 2.0 Level 2
209,可以,kěyǐ,动词,语法功能词,can; may,HSK 2.0 Level 2
210,课,kè,名词,职场与教育,class; lesson,HSK 2.0 Level 2
211,快,kuài,形容词,日常生活与情感,fast; quick,HSK 2.0 Level 2
212,快乐,kuàilè,形容词,日常生活与情感,happy; cheerful,HSK 2.0 Level 2
213,累,lèi,形容词,日常生活与情感,tired; weary,HSK 2.0 Level 2
214,离,lí,介词,语法功能词,away from; from,HSK 2.0 Level 2
215,两,liǎng,数词,语法功能词,two; a couple of,HSK 2.0 Level 2
216,路,lù,名词,旅行与交通,road; route,HSK 2.0 Level 2
217,旅游,lǚyóu,动词,旅行与交通,to travel; to tour,HSK 2.0 Level 2
218,卖,mài,动词,消费与休闲,to sell,HSK 2.0 Level 2
219,慢,màn,形容词,日常生活与情感,slow,HSK 2.0 Level 2
220,忙,máng,形容词,日常生活与情感,busy,HSK 2.0 Level 2
221,每,měi,代词,语法功能词,every; each,HSK 2.0 Level 2
222,妹妹,mèimei,名词,日常生活与情感,younger sister,HSK 2.0 Level 2
223,门,mén,名词,日常生活与情感,door; gate,HSK 2.0 Level 2
224,男人,nánrén,名词,日常生活与情感,man; male,HSK 2.0 Level 2
225,您,nín,代词,语法功能词,you (polite),HSK 2.0 Level 2
226,牛奶,niúnǎi,名词,日常生活与情感,milk,HSK 2.0 Level 2
227,女人,nǚrén,名词,日常生活与情感,woman; female,HSK 2.0 Level 2
228,旁边,pángbiān,名词,日常生活与情感,side; beside,HSK 2.0 Level 2
229,跑步,pǎobù,动词,健康与运动,to run; to jog,HSK 2.0 Level 2
230,便宜,piányi,形容词,消费与休闲,cheap; inexpensive,HSK 2.0 Level 2
231,票,piào,名词,消费与休闲,ticket,HSK 2.0 Level 2
232,妻子,qīzi,名词,日常生活与情感,wife,HSK 2.0 Level 2
233,起床,qǐchuáng,动词,日常生活与情感,to get up; to wake up,HSK 2.0 Level 2
234,千,qiān,数词,语法功能词,thousand,HSK 2.0 Level 2
235,晴,qíng,形容词,科技与环境,sunny; clear,HSK 2.0 Level 2
236,去年,qùnián,名词,日常生活与情感,last year,HSK 2.0 Level 2
237,让,ràng,动词,人际交往,to let; to allow; to make,HSK 2.0 Level 2
238,上班,shàngbān,动词,职场与教育,to go to work; to be on duty,HSK 2.0 Level 2
239,身体,shēntǐ,名词,健康与运动,body; health,HSK 2.0 Level 2
240,生病,shēngbìng,动词,健康与运动,to fall ill; to get sick,HSK 2.0 Level 2
241,生日,shēngrì,名词,日常生活与情感,birthday,HSK 2.0 Level 2
242,时间,shíjiān,名词,日常生活与情感,time,HSK 2.0 Level 2
243,事情,shìqing,名词,日常生活与情感,thing; matter; affair,HSK 2.0 Level 2
244,手表,shǒubiǎo,名词,消费与休闲,watch; wristwatch,HSK 2.0 Level 2
245,手机,shǒujī,名词,科技与环境,mobile phone; cellphone,HSK 2.0 Level 2
246,送,sòng,动词,人际交往,to deliver; to send; to give as a gift,HSK 2.0 Level 2
247,所以,suǒyǐ,连词,语法功能词,so; therefore,HSK 2.0 Level 2
248,它,tā,代词,语法功能词,it,HSK 2.0 Level 2
249,踢足球,tī zúqiú,动词,健康与运动,to play football; to play soccer,HSK 2.0 Level 2
250,题,tí,名词,职场与教育,question; topic; problem,HSK 2.0 Level 2
251,跳舞,tiàowǔ,动词,消费与休闲,to dance,HSK 2.0 Level 2
252,外,wài,名词,日常生活与情感,outside; exterior,HSK 2.0 Level 2
253,玩,wán,动词,消费与休闲,to play; to have fun,HSK 2.0 Level 2
254,完,wán,动词,日常生活与情感,to finish; to complete,HSK 2.0 Level 2
255,晚上,wǎnshang,名词,日常生活与情感,evening; night,HSK 2.0 Level 2
256,为什么,wèi shénme,代词,语法功能词,why; for what reason,HSK 2.0 Level 2
257,问,wèn,动词,人际交往,to ask; to inquire,HSK 2.0 Level 2
258,问题,wèntí,名词,职场与教育,question; problem,HSK 2.0 Level 2
259,西瓜,xīguā,名词,日常生活与情感,watermelon,HSK 2.0 Level 2
260,希望,xīwàng,动词,日常生活与情感,to hope; to wish,HSK 2.0 Level 2
261,洗,xǐ,动词,日常生活与情感,to wash; to bathe,HSK 2.0 Level 2
262,向,xiàng,介词,语法功能词,towards; to,HSK 2.0 Level 2
263,小时,xiǎoshí,名词,日常生活与情感,hour,HSK 2.0 Level 2
264,笑,xiào,动词,日常生活与情感,to smile; to laugh,HSK 2.0 Level 2
265,新,xīn,形容词,日常生活与情感,new,HSK 2.0 Level 2
266,姓,xìng,动词,人际交往,to be surnamed; surname,HSK 2.0 Level 2
267,休息,xiūxi,动词,健康与运动,to rest; to take a break,HSK 2.0 Level 2
268,雪,xuě,名词,科技与环境,snow,HSK 2.0 Level 2
269,颜色,yánsè,名词,日常生活与情感,color,HSK 2.0 Level 2
270,眼睛,yǎnjing,名词,健康与运动,eye,HSK 2.0 Level 2
271,羊肉,yángròu,名词,日常生活与情感,mutton; lamb,HSK 2.0 Level 2
272,要,yào,动词,日常生活与情感,to want; to need; will,HSK 2.0 Level 2
273,药,yào,名词,健康与运动,medicine; drug,HSK 2.0 Level 2
274,也,yě,副词,语法功能词,also; too,HSK 2.0 Level 2
275,已经,yǐjīng,副词,语法功能词,already,HSK 2.0 Level 2
276,一起,yìqǐ,副词,语法功能词,together,HSK 2.0 Level 2
277,意思,yìsi,名词,日常生活与情感,meaning; idea,HSK 2.0 Level 2
278,阴,yīn,形容词,科技与环境,overcast; cloudy,HSK 2.0 Level 2
279,因为,yīnwèi,连词,语法功能词,because; since,HSK 2.0 Level 2
280,游泳,yóuyǒng,动词,健康与运动,to swim,HSK 2.0 Level 2
281,右边,yòubian,名词,日常生活与情感,right side,HSK 2.0 Level 2
282,鱼,yú,名词,日常生活与情感,fish,HSK 2.0 Level 2
283,元,yuán,量词,语法功能词,yuan; currency unit,HSK 2.0 Level 2
284,远,yuǎn,形容词,日常生活与情感,far; distant,HSK 2.0 Level 2
285,运动,yùndòng,动词,健康与运动,to exercise; sports,HSK 2.0 Level 2
286,再,zài,副词,语法功能词,again; once more,HSK 2.0 Level 2
287,早上,zǎoshang,名词,日常生活与情感,morning,HSK 2.0 Level 2
288,张,zhāng,量词,语法功能词,(measure word for flat objects); piece,HSK 2.0 Level 2
289,丈夫,zhàngfu,名词,日常生活与情感,husband,HSK 2.0 Level 2
290,找,zhǎo,动词,日常生活与情感,to look for; to find,HSK 2.0 Level 2
291,着,zhe,助词,语法功能词,(aspect particle indicating continuous state),HSK 2.0 Level 2
292,真,zhēn,副词,语法功能词,really; truly,HSK 2.0 Level 2
293,正在,zhèngzài,副词,语法功能词,in the process of; currently,HSK 2.0 Level 2
294,知道,zhīdào,动词,日常生活与情感,to know; to realize,HSK 2.0 Level 2
295,准备,zhǔnbèi,动词,日常生活与情感,to prepare; to get ready,HSK 2.0 Level 2
296,自行车,zìxíngchē,名词,旅行与交通,bicycle; bike,HSK 2.0 Level 2
297,走,zǒu,动词,旅行与交通,to walk; to leave,HSK 2.0 Level 2
298,最,zuì,副词,语法功能词,most; -est,HSK 2.0 Level 2
299,左边,zuǒbian,名词,日常生活与情感,left side,HSK 2.0 Level 2
300,过（助）,guo,助词,语法功能词,(aspect particle indicating past experience),HSK 2.0 Level 2
301,只,zhǐ,副词,语法功能词,only; merely,HSK 2.0 Level 3
302,阿姨,āyí,名词,人际交往,auntie; nurse; maid,HSK 2.0 Level 3
303,啊,a,叹词,语法功能词,ah; oh,HSK 2.0 Level 3
304,矮,ǎi,形容词,日常生活与情感,short; low,HSK 2.0 Level 3
305,爱好,àihào,名词,消费与休闲,hobby; interest,HSK 2.0 Level 3
306,安静,ānjìng,形容词,日常生活与情感,quiet; peaceful,HSK 2.0 Level 3
307,把,bǎ,介词,语法功能词,(disposal marker); to hold,HSK 2.0 Level 3
308,班,bān,名词,职场与教育,class; shift,HSK 2.0 Level 3
309,搬,bān,动词,日常生活与情感,to move; to shift,HSK 2.0 Level 3
310,半,bàn,数词,语法功能词,half,HSK 2.0 Level 3
311,办法,bànfǎ,名词,职场与教育,method; way,HSK 2.0 Level 3
312,办公室,bàngōngshì,名词,职场与教育,office,HSK 2.0 Level 3
313,帮忙,bāngmáng,动词,人际交往,to help; to do a favor,HSK 2.0 Level 3
314,包,bāo,名词,消费与休闲,bag; package,HSK 2.0 Level 3
315,饱,bǎo,形容词,日常生活与情感,full; satisfied,HSK 2.0 Level 3
316,北方,běifāng,名词,旅行与交通,north; northern region,HSK 2.0 Level 3
317,被,bèi,介词,语法功能词,by; (passive marker),HSK 2.0 Level 3
318,鼻子,bízi,名词,健康与运动,nose,HSK 2.0 Level 3
319,比较,bǐjiào,副词,语法功能词,fairly; comparatively; to compare,HSK 2.0 Level 3
320,比赛,bǐsài,名词,健康与运动,match; competition,HSK 2.0 Level 3
321,必须,bìxū,副词,语法功能词,must; have to,HSK 2.0 Level 3
322,变化,biànhuà,动词,科技与环境,to change; variation,HSK 2.0 Level 3
323,表示,biǎoshì,动词,人际交往,to express; to show,HSK 2.0 Level 3
324,表演,biǎoyǎn,动词,消费与休闲,to perform; to act,HSK 2.0 Level 3
325,别人,biéren,名词,人际交往,other people; others,HSK 2.0 Level 3
326,宾馆,bīnguǎn,名词,旅行与交通,hotel,HSK 2.0 Level 3
327,冰箱,bīngxiāng,名词,科技与环境,refrigerator; fridge,HSK 2.0 Level 3
328,才,cái,副词,语法功能词,only then; just,HSK 2.0 Level 3
329,菜单,càidān,名词,消费与休闲,menu,HSK 2.0 Level 3
330,参加,cānjiā,动词,人际交往,to participate; to join,HSK 2.0 Level 3
331,草,cǎo,名词,科技与环境,grass,HSK 2.0 Level 3
332,层,céng,量词,语法功能词,floor; layer; story,HSK 2.0 Level 3
333,差,chà,形容词,职场与教育,poor; bad; short of,HSK 2.0 Level 3
334,超市,chāoshì,名词,消费与休闲,supermarket,HSK 2.0 Level 3
335,衬衫,chènshān,名词,消费与休闲,shirt; blouse,HSK 2.0 Level 3
336,成绩,chéngjì,名词,职场与教育,score; grade; achievement,HSK 2.0 Level 3
337,城市,chéngshì,名词,旅行与交通,city; town,HSK 2.0 Level 3
338,迟到,chídào,动词,职场与教育,to be late; to arrive late,HSK 2.0 Level 3
339,出现,chūxiàn,动词,日常生活与情感,to appear; to emerge,HSK 2.0 Level 3
340,厨房,chúfáng,名词,日常生活与情感,kitchen,HSK 2.0 Level 3
341,除了,chúle,介词,语法功能词,except; besides,HSK 2.0 Level 3
342,春,chūn,名词,科技与环境,spring,HSK 2.0 Level 3
343,词语,cíyǔ,名词,职场与教育,word; expression,HSK 2.0 Level 3
344,聪明,cōngming,形容词,日常生活与情感,clever; smart,HSK 2.0 Level 3
345,打扫,dǎsǎo,动词,日常生活与情感,to clean; to sweep,HSK 2.0 Level 3
346,打算,dǎsuàn,动词,日常生活与情感,to plan; to intend,HSK 2.0 Level 3
347,带,dài,动词,日常生活与情感,to bring; to take; to carry,HSK 2.0 Level 3
